Date;Heure;Time;Biomasse;Gaz;Charbon;Fioul;Hydraulique STEP;Hydraulique fil de l'eau / éclusée;Hydraulique lacs;Nucléaire;Solaire;Déchets;Éolien terrestre;Total
1/1/2020;00:00;43831 00:00-01:00;347;6483;44;195;253;6139;2637;49003;0;217;3361;68679
1/1/2020;01:00;43831 01:00-02:00;348;5576;44;203;374;5920;2359;49462;0;216;2810;67312
1/1/2020;02:00;43831 02:00-03:00;347;4257;44;203;-95;5793;1765;49565;0;216;2655;64750
1/1/2020;03:00;43831 03:00-04:00;348;2874;44;201;-868;5559;1296;49580;0;217;2736;61987
1/1/2020;04:00;43831 04:00-05:00;348;2823;44;200;-2443;5400;960;49271;0;217;2631;59451
1/1/2020;05:00;43831 05:00-06:00;347;2834;44;200;-3349;5347;940;49438;0;218;2533;58552
1/1/2020;06:00;43831 06:00-07:00;348;2841;44;200;-3053;5224;986;49542;0;217;2341;58690
1/1/2020;07:00;43831 07:00-08:00;348;2994;42;200;-3326;5226;985;49289;0;218;2185;58161
1/1/2020;08:00;43831 08:00-09:00;349;3061;42;200;-3431;5345;935;48860;175;217;1917;57670
1/1/2020;09:00;43831 09:00-10:00;349;3345;42;200;-3355;5444;784;48797;640;217;1694;58157
1/1/2020;10:00;43831 10:00-11:00;349;3446;44;203;-3222;5446;1036;48703;1464;216;1623;59308
1/1/2020;11:00;43831 11:00-12:00;348;3547;44;204;-2684;5367;1095;48751;2100;218;1578;60568
1/1/2020;12:00;43831 12:00-13:00;349;3593;45;204;-1845;5399;1464;49217;2426;217;1356;62425
1/1/2020;13:00;43831 13:00-14:00;348;3573;44;204;-1717;5444;1743;49196;2354;215;1098;62502
1/1/2020;14:00;43831 14:00-15:00;347;3708;45;204;-1312;5389;1499;48992;1875;215;997;61959
1/1/2020;15:00;43831 15:00-16:00;348;4236;44;204;-473;5479;1964;49061;1038;215;1006;63122
1/1/2020;16:00;43831 16:00-17:00;348;5150;44;204;377;5896;3032;49333;330;215;1050;65979
1/1/2020;17:00;43831 17:00-18:00;348;6041;44;204;851;6176;3314;49727;131;213;1089;68138
1/1/2020;18:00;43831 18:00-19:00;345;6803;44;204;1312;6413;3483;50117;0;214;1199;70134
1/1/2020;19:00;43831 19:00-20:00;345;7192;44;204;1168;6591;3206;50313;0;213;1288;70564
1/1/2020;20:00;43831 20:00-21:00;345;7184;44;204;953;6486;2565;49956;0;213;1339;69289
1/1/2020;21:00;43831 21:00-22:00;345;6987;44;203;951;6153;2092;50259;0;213;1318;68565
1/1/2020;22:00;43831 22:00-23:00;344;6760;44;203;974;6026;2067;50052;0;212;1249;67931
1/1/2020;23:00;43831 23:00-24:00;342;6138;44;203;151;5797;1785;49707;0;211;1250;65628
2/1/2020;00:00;43832 00:00-01:00;340;5646;44;203;-959;5376;972;49707;0;213;1317;62859
2/1/2020;01:00;43832 01:00-02:00;341;5305;44;203;-2269;5154;731;49501;0;214;1417;60641
2/1/2020;02:00;43832 02:00-03:00;342;5276;44;203;-3151;5075;714;49315;0;214;1465;59497
2/1/2020;03:00;43832 03:00-04:00;342;5019;44;201;-3675;5113;730;49138;0;214;1579;58705
2/1/2020;04:00;43832 04:00-05:00;342;5030;44;200;-3732;5174;767;49223;0;216;1646;58910
2/1/2020;05:00;43832 05:00-06:00;342;5128;44;200;-3721;5217;970;49512;0;213;1738;59643
2/1/2020;06:00;43832 06:00-07:00;342;6708;44;203;-1662;5533;1378;49780;0;212;1849;64387
2/1/2020;07:00;43832 07:00-08:00;344;7462;44;204;-95;5946;1800;49924;0;213;1965;67807
